customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update,address_id,address,address2,district,city_id,postal_code,phone,location,last_update
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",5,"1913 Hanoi Way",,Nagasaki,463,35200,28303384290,...,"2014-09-25 22:31:53"
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",6,"1121 Loja Avenue",,California,449,17886,838635286649,...,"2014-09-25 22:34:01"
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",7,"692 Joliet Street",,Attika,38,83579,448477190408,...,"2014-09-25 22:31:07"
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",8,"1566 Inegl Manor",,Mandalay,349,53561,705814003527,...,"2014-09-25 22:32:18"
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",9,"53 Idfu Parkway",,Nantou,361,42399,10655648674,...,"2014-09-25 22:33:16"
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",10,"1795 Santiago de Compostela Way",,Texas,295,18743,860452626434,...,"2014-09-25 22:33:55"
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",11,"900 Santiago de Compostela Parkway",,"Central Serbia",280,93896,716571220373,...,"2014-09-25 22:34:11"
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",12,"478 Joliet Way",,Hamilton,200,77948,657282285970,...,"2014-09-25 22:32:22"
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",13,"613 Korolev Drive",,Masqat,329,45844,380657522649,...,"2014-09-25 22:32:29"
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",14,"1531 Sal Drive",,Esfahan,162,53628,648856936185,...,"2014-09-25 22:31:36"
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",15,"1542 Tarlac Parkway",,Kanagawa,440,1027,635297277345,...,"2014-09-25 22:31:53"
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",16,"808 Bhopal Manor",,Haryana,582,10672,465887807014,...,"2014-09-25 22:31:30"
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",17,"270 Amroha Parkway",,Osmaniye,384,29610,695479687538,...,"2014-09-25 22:33:27"
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",18,"770 Bydgoszcz Avenue",,California,120,16266,517338314235,...,"2014-09-25 22:33:47"
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",19,"419 Iligan Lane",,"Madhya Pradesh",76,72878,990911107354,...,"2014-09-25 22:31:13"
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,0,"2006-02-14 22:04:36","2006-02-15 04:57:20",20,"360 Toulouse Parkway",,England,495,54308,949312333307,...,"2014-09-25 22:33:40"
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",21,"270 Toulon Boulevard",,Kalmykia,156,81766,407752414682,...,"2014-09-25 22:32:48"
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",22,"320 Brest Avenue",,Kaduna,252,43331,747791594069,...,"2014-09-25 22:32:25"
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",23,"1417 Lancaster Avenue",,"Northern Cape",267,72192,272572357893,...,"2014-09-25 22:33:03"
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",24,"1688 Okara Way",,"Nothwest Border Prov",327,21954,144453869132,...,"2014-09-25 22:32:30"
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,1,"2006-02-14 22:04:36","2006-02-15 04:57:20",25,"262 A Corua (La Corua) Parkway",,Dhaka,525,34418,892775750063,...,"2014-09-25 22:30:12"
